epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,270.467,1.18115,1.70344,1.32762,0.70486,0.36953,0.39637,0.24819,1.05043,0.88381,1.18162,0.00199606,0.00199606,0.00199606
2,532.279,1.06535,0.94718,1.19573,0.57286,0.43271,0.45282,0.2794,1.04695,0.82207,1.14085,0.00398814,0.00398814,0.00398814
3,793.24,1.08815,0.93237,1.1948,0.52858,0.4328,0.4456,0.27305,1.08884,0.86734,1.17366,0.00597231,0.00597231,0.00597231
4,1055.19,1.12323,0.96196,1.21516,0.58189,0.41824,0.43881,0.26435,1.1163,0.91493,1.19371,0.00794856,0.00794856,0.00794856
1,901.075,1.18935,1.58717,1.28463,0.69084,0.34801,0.36709,0.22534,1.08021,0.91285,1.16497,0.00199803,0.00199803,0.00199803
2,1776.4,1.09871,0.98588,1.19769,0.65843,0.37858,0.41144,0.25064,1.06047,0.85601,1.14883,0.00399011,0.00399011,0.00399011
3,2645.91,1.12163,0.97029,1.19687,0.55958,0.38057,0.39943,0.24292,1.11045,0.91131,1.164,0.00597427,0.00597427,0.00597427
4,3511.55,1.16441,1.02819,1.21477,0.62298,0.40146,0.41838,0.24837,1.13611,0.9155,1.18204,0.00795052,0.00795052,0.00795052
5,4374.17,1.22258,1.09793,1.24702,0.63438,0.37243,0.39467,0.23154,1.18674,0.98458,1.21826,0.00991884,0.00991884,0.00991884
6,5225,1.26508,1.15348,1.27527,0.6299,0.36394,0.39002,0.22828,1.1939,0.98788,1.22316,0.009901,0.009901,0.009901
7,6077.37,1.23841,1.11173,1.25523,0.63017,0.37504,0.4045,0.24053,1.1592,0.93608,1.19874,0.0098812,0.0098812,0.0098812
8,6918.9,1.21683,1.06695,1.24709,0.58402,0.41182,0.42813,0.25538,1.15113,0.92271,1.19586,0.0098614,0.0098614,0.0098614
9,7769.95,1.19242,1.04404,1.23442,0.67127,0.40367,0.43866,0.26684,1.11132,0.87926,1.17184,0.0098416,0.0098416,0.0098416
10,8611.14,1.18582,1.02041,1.22689,0.62895,0.42585,0.44841,0.27226,1.10959,0.86808,1.163,0.0098218,0.0098218,0.0098218
11,9454.7,1.16605,0.99341,1.21859,0.58457,0.45267,0.47085,0.28831,1.07491,0.82451,1.1458,0.009802,0.009802,0.009802
